Subject: OKS001,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS009,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS009,femur-bone,1,221301,221.301,0.013,1.28E+00,3.29E+03,36.701435,36.3598
Layer,OKS009,tibia-bone,2,146161,146.161,0.013,2.58E-02,1.82E+00,0.489338,0.4848
Layer,OKS009,fibula-bone,3,15350,15.35,0.013,3.70E-04,2.23E-02,0.000739,0.0007
Layer,OKS009,patella-bone,4,21353,21.353,0.013,9.46E-02,2.59E+00,0.26263,0.2602
Layer,OKS009,lm-men,5,2642,2.642,0.006,1.03E+00,8.76E+00,0.164003,0.1625
Layer,OKS009,mm-men,6,2560,2.56,0.006,2.07E-01,2.35E+00,0.031757,0.0315
Layer,OKS009,fc-cart,7,13055,13.055,0.005,5.58E+00,2.16E+03,3.641876,3.608
Layer,OKS009,ltc-cart,8,1769,1.769,0.005,7.52E-01,3.04E+00,0.066501,0.0659
Layer,OKS009,mtc-cart,9,1161,1.161,0.005,4.35E-02,3.45E-01,0.002526,0.0025
Layer,OKS009,pat-cart,10,8538,8.538,0.005,5.50E-01,5.89E+00,0.23486,0.2327
Layer,OKS009,muscle,11,548064,548.064,0.018,5.69E-01,2.29E+02,56.128784,55.6063
Layer,OKS009,adipose,12,312095,312.095,0.0057,1.56E-01,1.68E+01,2.777277,2.7514
Layer,OKS009,skin,13,111993,111.993,0.0046,4.68E-02,5.33E+00,0.240869,0.2386
Layer,OKS009,synovial,14,31955,31.955,0.0002,3.08E+00,2.83E+03,0.19696,0.1951
